Stage,Series,Team Name,Bans,Picks,Decider
Group Stage,Opening (A),TH,"['Ascent', 'Split']",['Lotus'],['Icebox']
Group Stage,Opening (A),FUT,"['Breeze', 'Sunset']",['Bind'],['Icebox']
Group Stage,Opening (A),KC,"['Ascent', 'Breeze']",['Split'],['Lotus']
Group Stage,Opening (A),GX,"['Bind', 'Icebox']",['Sunset'],['Lotus']
Group Stage,Opening (B),NAVI,"['Split', 'Icebox']",['Bind'],['Breeze']
Group Stage,Opening (B),BBL,"['Lotus', 'Sunset']",['Ascent'],['Breeze']
Group Stage,Opening (B),TL,"['Sunset', 'Breeze']",['Icebox'],['Split']
Group Stage,Opening (B),KOI,"['Lotus', 'Ascent']",['Bind'],['Split']
Group Stage,Opening (C),VIT,"['Icebox', 'Split']",['Sunset'],['Ascent']
Group Stage,Opening (C),M8,"['Bind', 'Breeze']",['Lotus'],['Ascent']
Group Stage,Winner's (A),KC,"['Breeze', 'Icebox']",['Split'],['Sunset']
Group Stage,Winner's (A),TH,"['Ascent', 'Bind']",['Lotus'],['Sunset']
Group Stage,Elimination (A),GX,"['Bind', 'Lotus']",['Split'],['Sunset']
Group Stage,Elimination (A),FUT,"['Breeze', 'Ascent']",['Icebox'],['Sunset']
Group Stage,Winner's (B),TL,"['Sunset', 'Bind']",['Split'],['Ascent']
Group Stage,Winner's (B),NAVI,"['Icebox', 'Lotus']",['Breeze'],['Ascent']
Group Stage,Elimination (B),BBL,"['Sunset', 'Breeze']",['Bind'],['Icebox']
Group Stage,Elimination (B),KOI,"['Lotus', 'Ascent']",['Split'],['Icebox']
Group Stage,Winner's (C),FNC,"['Sunset', 'Split']",['Lotus'],['Bind']
Group Stage,Winner's (C),VIT,"['Icebox', 'Breeze']",['Ascent'],['Bind']
Group Stage,Decider (C),M8,"['Bind', 'Ascent']",['Breeze'],['Sunset']
Group Stage,Decider (C),VIT,"['Icebox', 'Split']",['Lotus'],['Sunset']
Group Stage,Decider (A),FUT,"['Breeze', 'Split']",['Lotus'],['Sunset']
Group Stage,Decider (A),KC,"['Ascent', 'Icebox']",['Bind'],['Sunset']
Group Stage,Decider (B),KOI,"['Lotus', 'Ascent']",['Sunset'],['Split']
Group Stage,Decider (B),TL,"['Breeze', 'Bind']",['Icebox'],['Split']
Play-In Stage,Play-ins,KC,"['Breeze', 'Bind']",['Sunset'],['Lotus']
Play-In Stage,Play-ins,VIT,"['Icebox', 'Split']",['Ascent'],['Lotus']
Play-In Stage,Play-ins,KOI,"['Lotus', 'Ascent']",['Sunset'],['Bind']
Play-In Stage,Play-ins,VIT,"['Icebox', 'Split']",['Breeze'],['Bind']
Play-In Stage,Play-ins,KC,"['Breeze', 'Ascent']",['Sunset'],['Icebox']
Play-In Stage,Play-ins,KOI,"['Lotus', 'Split']",['Bind'],['Icebox']
Playoffs,Semifinals,TH,"['Ascent', 'Bind']",['Sunset'],['Split']
Playoffs,Semifinals,NAVI,"['Lotus', 'Icebox']",['Breeze'],['Split']
Playoffs,Semifinals,FNC,"['Sunset', 'Icebox']",['Lotus'],['Bind']
Playoffs,Semifinals,KC,"['Ascent', 'Breeze']",['Split'],['Bind']
Playoffs,Grand Final,KC,['Breeze'],"['Sunset', 'Icebox']",['Bind']
Playoffs,Grand Final,TH,['Ascent'],"['Lotus', 'Split']",['Bind']
Group Stage,Opening (A),FUR,"['Sunset', 'Lotus']",['Breeze'],['Split']
Group Stage,Opening (A),NRG,"['Bind', 'Icebox']",['Ascent'],['Split']
Group Stage,Opening (A),C9,"['Ascent', 'Breeze']",['Bind'],['Lotus']
Group Stage,Opening (A),MIBR,"['Icebox', 'Sunset']",['Split'],['Lotus']
Group Stage,Opening (B),SEN,"['Icebox', 'Lotus']",['Split'],['Sunset']
Group Stage,Opening (B),LOUD,"['Breeze', 'Bind']",['Ascent'],['Sunset']
Group Stage,Opening (B),100T,"['Breeze', 'Sunset']",['Bind'],['Icebox']
Group Stage,Opening (B),LEV,"['Lotus', 'Ascent']",['Split'],['Icebox']
Group Stage,Opening (C),G2,"['Lotus', 'Split']",['Icebox'],['Ascent']
Group Stage,Opening (C),KRÜ,"['Bind', 'Breeze']",['Sunset'],['Ascent']
Group Stage,Elimination (A),MIBR,"['Icebox', 'Bind']",['Split'],['Lotus']
Group Stage,Elimination (A),FUR,"['Ascent', 'Sunset']",['Breeze'],['Lotus']
Group Stage,Elimination (B),100T,"['Sunset', 'Breeze']",['Lotus'],['Split']
Group Stage,Elimination (B),SEN,"['Icebox', 'Ascent']",['Bind'],['Split']
Group Stage,Winner's (A),C9,"['Split', 'Breeze']",['Sunset'],['Lotus']
